Roll;Pitch;COG_MAG;Ax;Ay;Az;T0;T1;Year;Month;Day;Hour;Min;Sec;Nanoseconds;Vn;Ve;Vd;H;AHor;AVert;ASpeed;AHeading;Time;GPSFlags;NbSat;Latitude;Longitude;Altitude_GPS;Vx;Vy;Vz;Accuracy;PosAccuracy;VelAccuracy;Status
0,6148428;0,2117829;-156;0,06557083;-0,08089924;-9,814876;39,51782;50,04883;9;1;1;0;0;48;522146333;0;0;0;0;4294967295;3750000384;7143;18000000;550736250;12;0;641;-515;8;0,004317248;0,3935673;-0,3701675;0,9669018;1,733031E+07;173,3867;1081343
0,6544454;0,2200399;-156;0,0607605;-0,07848835;-9,822319;39,51279;50,04883;9;1;1;0;0;48;822146133;0;0;0;0;4294967295;3750000384;7178;18000000;550736750;12;0;645;-525;8;0,009961784;0,3989461;-0,3732327;0,9717614;1,733031E+07;173,3867;1081343
0,6714709;0,2192344;-156;0,06564522;-0,0980711;-9,814534;39,55307;50,04883;9;1;1;0;0;49;62146333;0;0;0;0;4294967295;3750000384;7178;18000000;550736750;12;0;649;-533;8;0,01340426;0,4041052;-0,3764094;0,9750555;1,733031E+07;173,3867;1081343
0,6526427;0,1997565;-156;0,05841351;-0,09322166;-9,824498;39,55307;50,04883;9;1;1;0;0;49;342146333;0;0;0;0;4294967295;3750000384;7196;18000000;550737000;12;0;653;-543;8;0,01787648;0,4108677;-0,3792143;0,9800755;1,733031E+07;173,3867;1081343
0,6691281;0,2148395;-156;0,05838108;-0,09075928;-9,822098;39,52286;50,04883;9;1;1;0;0;49;662146266;0;0;0;0;4294967295;3750000384;7230;18000000;550737500;12;0;657;-554;8;0,02336553;0,4177462;-0,3825609;0,985186;1,733031E+07;173,3867;1081343
0,6976658;0,2126058;-157;0,03427505;-0,1129522;-9,836581;39,543;50,04883;9;1;1;0;0;50;2146200;0;0;0;0;4294967295;3750000384;7247;18000000;550737750;12;0;661;-567;9;0,0289021;0,427119;-0,3868049;0,9921321;1,733031E+07;173,3867;1081343
0,6689507;0,2009949;-157;0,06581211;-0,1054916;-9,829086;39,55811;50,04883;9;1;1;0;0;50;582146333;0;0;0;0;4294967295;3750000384;7282;18000000;550738250;12;0;669;-588;9;0,03723225;0,4435626;-0,3936551;1,001013;1,733031E+07;173,3867;1081343
0,6955513;0,2103261;-157;0,04613495;-0,08340549;-9,817458;39,55307;50,04883;9;1;1;0;0;50;842146200;0;0;0;0;4294967295;3750000384;7316;18000000;550738750;12;0;672;-598;9;0,04095548;0,4504986;-0,3971771;1,006439;1,733031E+07;173,3867;1081343
0,6892563;0,2197895;-157;0,04619026;-0,08587933;-9,822309;39,57321;50,04883;9;1;1;0;0;51;102146266;0;0;0;0;4294967295;3750000384;7333;18000000;550739000;12;0;675;-609;9;0,04470654;0,4583502;-0,3999825;1,011935;1,733031E+07;173,3867;1081343
0,6516683;0,2207185;-157;0,05103302;-0,09564877;-9,814718;39,53796;50,04883;9;1;1;0;0;51;362146466;0;0;0;0;4294967295;3750000384;7333;18000000;550739000;12;0;678;-619;9;0,04800848;0,4658771;-0,4025443;1,015636;1,733031E+07;173,3867;1081343
0,6333326;0,2166244;-158;0,06317043;-0,08336735;-9,817299;39,53293;50,04883;9;1;1;0;0;51;902146133;0;0;0;0;4294967295;3750000384;7384;18000000;550739750;12;0;685;-642;9;0,05532148;0,4789531;-0,4080172;1,026901;1,733031E+07;173,3867;1081343
0,6437686;0,2192304;-158;0,06084538;-0,09811306;-9,821928;39,54803;50,04883;9;1;1;0;0;52;522146266;0;0;0;0;4294967295;3750000384;7418;18000000;550740250;12;0;692;-668;10;0,062903;0,4933474;-0,4153454;1,038393;1,733031E+07;173,3867;1064959
